City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
320,Ballina,AU,-28.87,153.57,60.8,82,75,6.93,broken clouds
321,Rathkeale,IE,52.52,-8.94,48.2,76,75,6.93,broken clouds
322,Kavieng,PG,-2.57,150.8,82.49,79,74,13.2,broken clouds
323,Palu,ID,-0.89,119.87,76.01,78,98,1.95,overcast clouds
324,Mainit,PH,9.54,125.52,78.78,84,100,7.9,light rain
325,Byron Bay,AU,-28.65,153.62,60.8,82,75,6.93,broken clouds
326,Shahrud,IR,36.42,54.98,57.61,32,99,6.69,overcast clouds
327,Lucapa,AO,-8.42,20.74,69.21,96,71,3.89,broken clouds
328,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,82.38,72,84,11.52,broken clouds
329,Toccoa,US,34.58,-83.33,73.4,46,1,3.36,clear sky
330,Mount Gambier,AU,-37.83,140.77,46.4,93,90,6.93,overcast clouds
331,Merauke,ID,-8.47,140.33,78.58,80,86,9.6,overcast clouds
332,Chapleau,CA,47.84,-83.4,57.2,50,75,10.29,broken clouds
333,Kodinsk,RU,58.69,99.18,7.81,92,61,2.93,broken clouds
334,Sistranda,NO,63.73,8.83,50.0,81,75,32.21,broken clouds
335,Broome,US,42.25,-75.83,68.0,48,1,13.87,clear sky
336,Murupara,NZ,-38.47,176.7,57.47,89,100,1.03,overcast clouds
337,Hanover,DE,52.37,9.73,50.0,93,0,4.7,clear sky
338,Immokalee,US,26.42,-81.42,86.0,58,40,18.34,scattered clouds
339,Ankang,CN,32.68,109.02,55.09,65,0,0.4,clear sky
340,Yarmouth,US,41.71,-70.23,66.0,72,1,14.99,clear sky
341,Luderitz,NA,-26.65,15.16,61.14,76,72,5.03,broken clouds
342,Clyde River,CA,70.47,-68.59,1.4,77,75,21.92,broken clouds
343,Ambulu,ID,-8.35,113.61,76.42,88,52,2.17,broken clouds
344,Alta Floresta,BR,-9.88,-56.09,93.2,46,75,3.36,broken clouds
345,Msanga,TZ,-6.05,36.03,71.92,62,5,9.66,clear sky
346,Ust-Nera,RU,64.57,143.2,-0.65,84,100,5.84,overcast clouds
347,Isabela,PH,6.71,121.97,80.38,83,99,7.43,light rain
348,Resistencia,AR,-27.46,-58.98,91.99,23,0,5.82,clear sky
349,Anadyr,RU,64.75,177.48,26.6,92,90,20.13,light snow
350,Grafton,US,42.21,-71.69,71.01,40,1,12.75,clear sky
351,Namibe,AO,-15.2,12.15,73.33,58,51,13.47,broken clouds
352,Ames,US,42.03,-93.62,75.0,49,1,11.41,clear sky
353,Deputatskiy,RU,69.3,139.9,-8.09,93,92,0.92,overcast clouds
354,Dunedin,NZ,-45.87,170.5,53.01,84,74,2.8,broken clouds
355,Turukhansk,RU,65.82,87.98,10.94,94,100,15.73,light snow
